tconst,watched,priority,netflix,prime
tt2798920,1,0,,
tt2801746,0,0,0,0
tt2802144,1,0,,
tt28240284,1,0,,
tt28279848,0,0,,
tt28309395,0,0,,
tt28490044,1,0,,
tt2911666,1,0,,
tt2935510,1,0,,
tt2948356,1,0,,
tt29554537,1,0,,
tt2980592,0,0,0,0
tt2981768,1,0,,
tt3014866,0,0,,
tt30472557,0,0,,
tt3063516,1,0,,
tt3152592,0,0,0,0
tt3169706,0,0,0,0
tt3170832,0,0,,
tt3183660,1,0,,
tt3201640,0,0,1,0
tt3212232,1,0,,
tt3228774,1,0,,
tt3234704,0,0,0,1
tt3235888,0,0,0,0
tt3262342,0,0,0,0
tt3315342,1,0,,
tt3381008,0,0,,
tt3393786,1,0,,
tt3402236,0,0,,
tt3416742,1,0,,
tt3427252,1,0,,
tt3450958,0,0,0,0
tt3460252,1,0,,
tt3484204,0,0,0,0
tt3498820,1,0,,
tt3501632,1,0,,
tt3513498,0,0,0,0
tt3521126,0,0,,
tt3521164,0,0,0,0
tt3522806,0,0,1,0
tt3532216,0,0,,
tt3640424,1,0,1,1
tt3666210,0,0,0,0
tt3682448,1,0,0,0
tt3748528,0,0,0,0
tt3758542,0,0,,
tt3792960,1,0,0,0
tt3794354,0,0,1,0
tt3841424,0,0,,
tt3850214,0,0,0,0
tt3874544,0,0,0,1
tt3890160,1,0,,
tt3896198,1,0,,
tt3915174,0,1,,
tt3922798,1,0,,
tt4016934,0,0,,
tt4080728,1,0,,
tt4116284,0,0,0,0
tt4123430,1,0,,
tt4123432,1,0,,
tt4154756,1,0,,
tt4154796,1,0,,
tt4332232,0,0,1,0
tt4357394,0,0,,
tt4364194,0,0,1,0
tt4425200,1,0,,
tt4463120,1,0,,
tt4555426,1,0,,
tt4589218,0,0,,
tt4633694,0,0,,
tt4649466,1,0,,
tt4686844,1,0,,
tt4731136,1,0,,
tt4881806,1,0,,
tt4912910,1,0,,
tt4925252,0,0,,
tt4954522,0,0,0,0
tt4995776,1,0,,
tt5013056,0,1,0,0
tt5017936,0,0,0,0
tt5027774,0,0,,
tt5052448,1,0,,
tt5073642,1,0,,
tt5093026,0,0,1,0
tt5109280,0,0,0,0
tt5153288,0,0,0,0
tt5164432,0,0,0,0
tt5177120,1,1,,
tt5259822,0,0,0,0
tt5294518,0,0,1,0
tt5311514,1,0,,
tt5323662,1,0,,
tt5397194,0,0,1,0
tt5439796,1,0,,
tt5461944,1,0,,
tt5463162,1,0,,
tt5500218,1,0,,
tt5533370,0,1,0,0
tt5537002,1,0,,
tt5566790,0,0,1,0
tt5580036,1,0,,
tt5584796,0,0,0,0
tt5586052,0,0,1,0
tt5635086,0,0,0,0
tt5639354,0,0,0,0
tt5688932,0,0,0,0
tt5700672,1,0,0,1
tt5726616,1,0,,
tt5727208,1,0,,
tt5742374,0,0,0,0
tt5752606,0,0,0,0
tt5761544,0,0,,
tt5834426,1,0,1,0
tt5848272,0,0,0,0
tt5865326,0,0,,
tt5884052,1,0,,
tt5918982,0,0,0,0
tt5989218,1,0,,
tt6135348,0,0,0,0
tt6146586,1,0,,
tt6247936,0,0,0,0
tt6263850,1,0,,
tt6264654,1,0,0,0
tt6288124,0,0,0,1
tt6294822,1,0,,
tt6372694,0,0,0,0
tt6495056,0,0,,
tt6499752,1,0,1,
tt6511932,1,0,,
tt6587046,1,0,,
tt6595896,0,0,0,0
tt6628102,0,0,0,0
tt6628394,1,0,,
tt6679794,1,0,,
tt6686358,0,0,0,0
tt6704880,0,0,0,0
tt6718170,1,1,0,0
tt6722400,0,0,,
tt6723592,1,0,0,1
tt6744250,1,0,0,0
tt6751668,1,0,,
tt6768578,0,0,0,0
tt6791350,0,0,,
tt6823368,1,0,,
tt6848928,0,0,0,0
tt6856242,1,0,0,0
tt6857112,0,0,1,0
tt6865690,1,0,,
tt6902676,1,0,0,0
tt6966692,1,0,,
tt6977338,0,0,1,0
tt6998518,0,0,0,0
tt7040874,1,0,1,
tt7043012,1,0,,
tt7097896,1,0,,
tt7131622,1,0,,
tt7134096,0,0,1,0
tt7144666,0,0,0,0
tt7160372,1,0,,
tt7189380,0,0,,
tt7204348,0,0,0,0
tt7279188,0,0,0,0
tt7286456,1,0,,
tt7298400,0,0,0,0
tt7322224,1,0,,
tt7405458,0,0,,
tt7456468,1,0,,
tt7476116,0,0,0,0
tt7476236,0,0,0,0
tt7504726,0,0,,
tt7589524,0,0,0,0
tt7657566,1,0,0,0
tt7693316,0,0,0,0
tt7713068,1,0,,
tt7736664,0,0,,
tt7737528,1,0,,
tt7740496,1,0,,
tt7775720,0,0,,
tt7784604,1,0,,
tt7884368,0,0,,
tt7888964,1,0,,
tt7947604,0,0,,
tt7984734,1,0,,
tt7985648,1,0,,
tt7985704,0,0,,
tt7991608,1,0,,
tt8009428,1,0,,
tt8019518,1,0,,
tt8041270,1,0,,
tt8075192,0,1,0,0
tt8093700,1,0,,
tt8106534,1,0,,
tt8134742,0,0,0,0
tt8135564,0,0,,
tt8185182,0,0,0,0
tt8209702,0,0,,
tt8228288,1,0,,
tt8244784,0,0,,
tt8267604,0,0,,
tt8337264,1,0,,
tt8367814,0,0,,
tt8368406,0,0,0,0
tt8368408,0,1,0,1
tt8368512,0,0,0,1
tt8385148,1,0,,
tt8404614,1,0,,
tt8456190,0,0,,
tt8579674,1,0,,
tt8589698,0,0,,
tt8639136,1,0,,
tt8649344,1,0,,
tt8652818,1,0,,
tt8738964,0,0,1,0
tt8760684,0,1,,
tt8760708,1,0,,
tt8772262,1,0,,
tt8820590,0,0,0,0
tt8847712,1,0,,
tt8936646,1,0,,
tt8946378,1,0,1,0
tt8999762,1,0,,
tt9016974,0,0,0,1
tt9071322,0,0,0,0
tt9214772,0,0,,
tt9218128,1,0,,
tt9320184,0,0,,
tt9335794,1,0,,
tt9358044,0,0,0,0
tt9362722,1,0,,
tt9373688,0,0,0,0
tt9495224,1,0,,
tt9506474,1,0,,
tt9603212,1,0,,
tt9646240,0,0,1,0
tt9686708,1,0,,1
tt9691136,0,0,0,0
tt9731598,0,0,0,0
tt9737876,0,0,,
tt9755806,0,0,,
tt9764362,1,0,0,0
tt9783600,1,0,,
tt9806192,1,0,,
tt9873892,0,0,,
tt10687506,0,1,,
tt1034303,0,1,,
tt4978420,0,1,,
tt0071615,0,1,,
tt16418808,0,0,,
tt0079944,0,1,,
tt24082438,0,1,,
tt22399738,0,0,,
tt19637052,0,0,,
tt21335356,0,0,,
tt22408160,0,0,,
tt0091419,0,1,,
tt13923084,0,1,,
tt0069945,0,1,,
tt12349832,0,0,,
tt21265054,0,0,,
tt0021749,0,1,,
tt0032553,0,1,,
tt19231492,0,0,,
tt26256406,0,0,,
tt26748538,0,0,,
tt0098546,0,1,,
tt28085416,0,0,,
tt20115766,0,0,,
tt14415204,0,0,,
tt21284442,0,0,,
tt11985484,0,0,,
tt14257582,1,0,,
tt27590147,0,0,,
tt19734104,0,0,,
tt0100263,0,1,,
tt21962590,0,0,,
tt32627540,0,0,,
tt0186566,0,1,,
tt5040012,0,1,,
tt28015403,0,1,,
tt2101473,0,0,,
tt1063669,0,0,,
tt2872718,1,0,,
tt20258220,0,0,,
tt23468450,0,0,,
tt16274700,0,1,,
tt21247132,0,1,,
tt6604188,0,1,,
tt2049403,0,0,,
tt12616480,0,1,,
tt28349451,0,1,,
tt17526714,0,1,,
tt2396431,0,1,,
tt3402138,0,1,,
tt0119116,0,1,,
tt20969586,0,1,,
tt11821912,0,1,,
tt10625492,0,0,,
tt12276028,0,1,,
tt27740241,0,0,1,0
tt23558280,0,0,,
tt24176060,0,1,,
tt32368033,0,0,,
tt0166924,0,1,,
tt10461442,0,1,,
tt28089700,0,1,,
tt0790628,0,1,,
tt17489650,0,0,,
tt7766378,0,0,,
tt31036941,0,0,,
tt19500164,0,1,,
tt13654226,0,0,,
tt26304178,0,1,,
tt0093177,0,1,,
tt14123284,0,0,,
tt28443655,0,1,,
tt0899043,0,0,,
tt27989255,0,0,,
tt23649128,0,1,,
tt7395114,0,0,,
tt35168834,0,1,,
tt6300910,0,0,,
tt7171442,0,1,,
tt33504750,0,0,,
tt0120917,0,1,,
tt27543578,0,1,,
tt2467700,0,1,,
tt10278542,0,0,,
tt27629220,0,1,,
tt0120891,0,1,,
tt12042730,0,0,,
tt26443616,0,0,,
tt8785038,0,0,,
tt4846232,1,0,,
tt0110443,1,,
tt1441395,1,,
tt31711040,0,1,,
tt31021863,0,1,,
tt0101540,1,0,,
tt12908150,1,0,,
